abandon v.   AAA/ə'bændən /   BBB bỏ, từ bỏ
door n.   AAA/dɔ: /   BBB cửa, cửa ra vào
dot n.   AAA/dɔt /   BBB chấm nhỏ, điểm; của hồi môn
double adj., det., adv., n., v.   AAA/'dʌbl /   BBB đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt n., v.   AAA/daut /   BBB sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down adv., prep.   AAA/daun /   BBB xuống
downstairs adv., adj., n.   AAA/'daun'steзz /   BBB ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downwards adv.   AAA/´daun¸wədz /   BBB xuống, đi xuống
downward adj.   AAA/´daun¸wəd /   BBB xuống, đi xuống
dozen n., det.   AAA/dʌzn /   BBB tá 
draft n., adj., v.   AAA/dra:ft /   BBB bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag v.   AAA/drӕg /   BBB lôi kéo, kéo lê
drama n.   AAA/drɑː.mə /   BBB kịch, tuồng
dramatic adj.   AAA/drə´mætik /   BBB như kịch, như đóng kịch, thích hợp với sân khấu
dramatically adv.   AAA/drə'mætikəli /   BBB đột ngột
draw v.   AAA/dro: /   BBB vẽ, kéo
drawing n.   AAA/'dro:iŋ /   BBB bản vẽ, bức vẽ, sự kéo
drawer n.   AAA/´drɔ:ə /   BBB người vẽ, người kéo 
dream n., v.   AAA/dri:m /   BBB giấc mơ, mơ
dress n., v.   AAA/dres /   BBB quần áo, mặc , ăn mặc
drink n., v.   AAA/driɳk /   BBB đồ uống; uống
drive v., n.   AAA/draiv /   BBB lái , đua xe; cuộc đua xe 
driving n.   AAA/'draiviɳ /   BBB sự lái xe, cuộc đua xe
driver n.   AAA/draivә  /   BBB người lái xe
drop v., n.   AAA/drɒp /   BBB chảy nhỏ giọt, rơi, rớt; giọt 
drug n.   AAA/drʌg /   BBB thuốc, dược phẩm; ma túy
drugstore n.   AAA/'drʌgstɔ: /   BBB hiệu thuốc, cửa hàng dược phẩm
drum n.   AAA/drʌm /   BBB cái trống, tiếng trống
drunk adj.   AAA/drʌŋk /   BBB say rượu
dry adj., v.   AAA/drai /   BBB khô, cạn; làm khô, sấy khô
due adj.   AAA/du, dyu /   BBB đến kỳ hạn ; xứng đáng, thích đáng
dull adj.   AAA/dʌl /   BBB chậm hiểu, ngu đần
dump v., n.   AAA/dʌmp /   BBB đổ rác; đống rác, nơi đổ rác
during prep.   AAA/'djuəriɳ /   BBB trong lúc, trong thời gian
dust n., v.   AAA/dʌst /   BBB bụi, rác; rắc , quét bụi, phủi bụi
duty n.   AAA/'dju:ti /   BBB sự tôn kính, kính trọng; bồn phận, trách nhiệm
each det., pron.   AAA/i:tʃ /   BBB mỗi
ear n.   AAA/iə /   BBB tai
early adj., adv.   AAA/´ə:li /   BBB sớm
earn v.   AAA/ə:n /   BBB kiếm , giành 
earth n.   AAA/ə:θ /   BBB đất, trái đất
ease n., v.   AAA/i:z /   BBB sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
east n., adj., adv.   AAA/i:st /   BBB hướng đông, phía đông, đông, ở phía đông
eastern adj.   AAA/'i:stən /   BBB đông
easy adj.   AAA/'i:zi /   BBB dễ dàng, dễ tính, ung dung
easily adv.   AAA/'i:zili /   BBB dễ dàng
eat v.   AAA/i:t /   BBB ăn
economic adj.   AAA/¸i:kə´nɔmik /   BBB kinh tế 
economy n.   AAA/ɪˈkɒnəmi /   BBB sự tiết kiệm, sự quản lý kinh tế
edge n.   AAA/edӡ /   BBB lưỡi, cạnh sắc
edition n.   AAA/i'diʃn /   BBB nhà xuất bản, sự xuất bản
editor n.   AAA/´editə /   BBB người thu thập và xuất bản, chủ bút
educate v.   AAA/'edju:keit /   BBB giáo dục, cho ăn học; rèn luyện
educated adj.   AAA/'edju:keitid /   BBB được giáo dục, được đào tạo
education n.   AAA/,edju:'keiʃn /   BBB sự giáo dục, sự rèn luyện 
effect n.   AAA/i'fekt /   BBB hiệu ứng, hiệu quả, kết quả
effective adj.   AAA/'ifektiv /   BBB có kết quả, có hiệu lực
effectively adv.   AAA/i'fektivli /   BBB có kết quả, có hiệu lực
efficient adj.   AAA/i'fiʃənt /   BBB có hiệu lực, có hiệu quả
efficiently adv.   AAA/i'fiʃəntli /   BBB có hiệu quả, hiệu nghiệm
effort n.   AAA/´efə:t /   BBB sự cố gắng, sự nỗ lực
egg n.   AAA/eg /   BBB trứng
either det., pron., adv.   AAA/´aiðə /   BBB mỗi, một; cũng phải thế
elbow n.   AAA/elbou /   BBB khuỷu tay
elderly adj.   AAA/´eldəli /   BBB có tuổi, cao tuổi
elect v.   AAA/i´lekt /   BBB bầu, quyết định
election n.   AAA/i´lekʃən /   BBB sự bầu cử, cuộc tuyển cử
electric adj.   AAA/ɪˈlɛktrɪk /   BBB điện, có điện, phát điện
electrical adj.   AAA/i'lektrikəl /   BBB điện
electricity n.   AAA/ilek'trisiti /   BBB điện, điện lực; điện lực học
electronic adj.   AAA/ɪlɛkˈtrɒnɪk , ˌilɛkˈtrɒnɪk /   BBB điện tử
elegant adj.   AAA/´eligənt /   BBB thanh lịch, tao nhã
element n.   AAA/ˈɛləmənt /   BBB yếu tôd, nguyên tố
elevator n.   AAA/ˈɛləˌveɪtər /   BBB máy nâng, thang máy
else adv.   AAA/els /   BBB khác, nữa; nếu không
elsewhere adv.   AAA/¸els´wɛə /   BBB ở một nơi nào khác
email n., v.   AAA/'imeil /   BBB thư điện tử; gửi thư điện tử
embarrass v.   AAA/im´bærəs /   BBB lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
embarrassing adj.   AAA/im´bærəsiη /   BBB làm lúng túng, ngăn trở
embarrassed adj.   AAA/im´bærəst /   BBB lúng túng, bối rối, ngượng; mang nợ
embarrassment n.   AAA/im´bærəsmənt /   BBB sự lúng túng, sự bối rối
emerge v.   AAA/i´mə:dʒ /   BBB nổi lên, hiện ra; nổi bật lên
emergency n.   AAA/i'mз:dЗensi /   BBB tình trạng khẩn cấp
emotion n.   AAA/i'moƱʃ n /   BBB xự xúc động, sự cảm động, mối xác cảm
emotional adj.   AAA/i´mouʃənəl /   BBB cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotionally adv.   AAA/i´mouʃənəli /   BBB xúc động
emphasis n.   AAA/´emfəsis /   BBB sự nhấn mạnh, tầm quan trọng
emphasize v.   AAA/ˈɛmfəˌsaɪz /   BBB nhấn mạnh, làm nổi bật
empire n.   AAA/'empaiə /   BBB đế chế, đế quốc
employ v.   AAA/im'plɔi /   BBB dùng, thuê ai làm gì
unemployed adj.   AAA/¸ʌnim´plɔid /   BBB thất nghiệp; không dùng, không sử dụng được
employee n.   AAA/¸emplɔi´i: /   BBB người lao động, người làm công
employer n.   AAA/em´plɔiə /   BBB chủ, người sử dụng lao động
employment n.   AAA/im'plɔimənt /   BBB sự thuê mướn
unemployment n.   AAA/'Δnim'ploimзnt /   BBB sự thất nghiệp, nạn thất nghiệp
empty adj., v.   AAA/'empti /   BBB trống, rỗng; đổ, dốc; uống, làm cạn
enable v.   AAA/i'neibl /   BBB làm cho có thể, có khả năng; cho phép ai làm gì
encounter v., n.   AAA/in'kautә /   BBB chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encourage v.   AAA/in'kΔridЗ /   BBB động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement n.   AAA/in´kʌridʒmənt /   BBB niềm cổ vũ, động viên, khuyến khích, sự làm can đảm
end n., v.   AAA/end /   BBB giới hạn, sự kết thúc; kết thúc, chấm dứt
ending n.   AAA/´endiη /   BBB sự kết thúc, sự chấm dứt; phần cuối, kết cục
enemy n.   AAA/'enәmi /   BBB kẻ thù, quân địch
energy n.   AAA/ˈɛnərdʒi /   BBB năng lượng, nghị lực, sinh lực
engage v.   AAA/in'geidʤ /   BBB hứa hẹn, cam kết, đính ước
engaged adj.   AAA/in´geidʒd /   BBB đã đính ước, đã hứa hôn; đã có người
engine n.   AAA/en'ʤin /   BBB máy, động cơ
engineer n.   AAA/endʒi'niər /   BBB kỹ sư
engineering n.   AAA/,enʤɪ'nɪərɪŋ /   BBB nghề kỹ sư, công việc của kỹ sư
enjoy v.   AAA/in'dЗoi /   BBB thưởng thức, thích thú cái gì, được hưởng, có được
enjoyable adj.   AAA/in´dʒɔiəbl /   BBB thú vị, thích thú
enjoyment n.   AAA/in´dʒɔimənt /   BBB sự thích thú, sự có được, được hưởng
enormous adj.   AAA/i'nɔ:məs /   BBB to lớn, khổng lồ
enough det., pron., adv.   AAA/i'nʌf /   BBB đủ
enquiry n.   AAA/in'kwaiәri /   BBB sự điều tra, sự thẩm vấn
ensure v.   AAA/ɛnˈʃʊər , ɛnˈʃɜr /   BBB bảo đảm, chắc chắn
enter v.   AAA/´entə /   BBB đi vào, gia nhập
entertain v.   AAA/,entə'tein /   BBB giải trí, tiếp đón, chiêu đãi
entertaining adj.   AAA/,entə'teiniɳ /   BBB giải trí
entertainer n.   AAA/¸entə´teinə /   BBB người quản trò, người tiếp đãi, chiêu đãi
entertainment n.   AAA/entə'teinm nt /   BBB sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm n.   AAA/ɛnˈθuziˌæzəm /   BBB sự hăng hái, sự nhiệt tình
enthusiastic adj.   AAA/ɛnˌθuziˈæstɪk /   BBB hăng hái, say mê, nhiệt tình
entire adj.   AAA/in'taiə /   BBB toàn thể, toàn bộ
entirely adv.   AAA/in´taiəli /   BBB toàn vẹn, trọn vẹn, toàn bộ
entitle v.   AAA/in'taitl /   BBB cho tiêu đề, cho tên ; cho quyền làm gì
entrance n.   AAA/'entrəns /   BBB sự đi vào, sự nhậm chức
entry n.   AAA/ˈɛntri /   BBB sự ghi vào sổ sách, sự đi vào, sự tiếp nhận 
envelope n.   AAA/'enviloup /   BBB phong bì
environment n.   AAA/in'vaiərənmənt /   BBB môi trường, hoàn cảnh xung quanh
environmental adj.   AAA/in,vairən'mentl /   BBB thuộc về môi trường
equal adj., n., v.   AAA/´i:kwəl /   BBB ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang
equally adv.   AAA/'i:kwзli  /   BBB bằng nhau, ngang bằng
equipment n.   AAA/i'kwipmənt /   BBB trang, thiết bị
equivalent adj., n.   AAA/i´kwivələnt /   BBB tương đương; từ, vật tương đương
error n.   AAA/'erə /   BBB lỗi, sự sai sót, sai lầm
escape v., n.   AAA/is'keip /   BBB trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially adv.   AAA/is'peʃəli /   BBB đặc biệt là, nhất là
essay n.   AAA/ˈɛseɪ /   BBB bài tiểu luận
essential adj., n.   AAA/əˈsɛnʃəl /   BBB bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentially adv.   AAA/e¸senʃi´əli /   BBB về bản chất, về cơ bản
establish v.   AAA/ɪˈstæblɪʃ /   BBB lập, thành lập
estate n.   AAA/ɪˈsteɪt /   BBB tài sản, di sản, bất động sản
estimate n., v.   AAA/'estimit - 'estimeit /   BBB sự ước lượng, đánh giá; ước lượng, đánh giá
etc.   AAA/et setərə /   BBB vân vân
euro n.   AAA/´ju:rou /   BBB đơn vị tiền tệ của liên minh châu Âu
even adv., adj.   AAA/'i:vn /   BBB ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng
evening n.   AAA/'i:vniɳ /   BBB buổi chiều, tối
event n.   AAA/i'vent /   BBB sự việc, sự kiện
eventually adv.   AAA/i´ventjuəli /   BBB cuối cùng
ever adv.   AAA/'evә  /   BBB từng, từ trước tới giờ
every det.   AAA/'evәri /   BBB mỗi, mọi
everyone pron.   AAA/´evri¸wʌn /   BBB mọi người
everything pron.   AAA/'evriθiɳ /   BBB mọi vật, mọi thứ
everywhere adv.   AAA/´evri¸weə /   BBB mọi nơi
evidence n.   AAA/'evidəns /   BBB điều hiển nhiên, điều rõ ràng
evil adj., n.   AAA/'i:vl /   BBB xấu, ác; điều xấu, điều ác, điều tai hại
exact adj.   AAA/ig´zækt /   BBB chính xác, đúng
exactly adv.   AAA/ig´zæktli /   BBB chính xác, đúng đắn
exaggerate v.   AAA/ig´zædʒə¸reit /   BBB cường điệu, phóng đại
exaggerated adj.   AAA/ig'zædЗзreit /   BBB cường điệu, phòng đại
exam n.   AAA/ig´zæm /   BBB viết tắt của examination 
examination   AAA/ig¸zæmi´neiʃən /   BBB n. sự thi cử, kỳ thi
examine v.   AAA/ɪgˈzæmɪn /   BBB thẩm tra, khám xét, hỏi han 
example n.   AAA/ig´za:mp l /   BBB thí dụ, ví dụ
excellent adj.   AAA/ˈeksələnt /   BBB xuất sắc, xuất chúng
except prep., conj.   AAA/ik'sept /   BBB trừ ra, không kể; trừ phi
exception n.   AAA/ik'sepʃn /   BBB sự trừ ra, sự loại ra
exchange v., n.   AAA/iks´tʃeindʒ /   BBB trao đổi; sự trao đổi
excite v.   AAA/ik'sait /   BBB kích thích, kích động
exciting adj.   AAA/ik´saitiη /   BBB hứng thú, thú vị
excited adj.   AAA/ɪkˈsaɪtɪd /   BBB bị kích thích, bị kích động
excitement n.   AAA/ik´saitmənt /   BBB sự kích thích, sự kích động
exclude v.   AAA/iks´klu:d /   BBB ngăn chạn, loại trừ
excluding prep.   AAA/iks´klu:diη /   BBB ngoài ra, trừ ra
excuse n., v.   AAA/iks´kju:z /   BBB lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi
executive n., adj.   AAA/ɪgˈzɛkyətɪv /   BBB sự thi hành, chấp hành; sự thi hành, chấp hành
exercise n., v.   AAA/'eksəsaiz /   BBB bài tập, sự thi hành, sự thực hiện; làm, thi hành, thực hiện
exhibit v., n.   AAA/ɪgˈzɪbɪt /   BBB trưng bày, triển lãm; vật trưng bày, vật triển lãm
exhibition n.   AAA/ˌɛksəˈbɪʃən /   BBB cuộc triển lãm, trưng bày
exist v.   AAA/ig'zist /   BBB tồn tại, sống
existence n.   AAA/ig'zistəns /   BBB sự tồn tại, sự sống
exit n.   AAA/´egzit /   BBB lỗi ra, sự đi ra, thoát ra
expand v.   AAA/iks'pænd /   BBB mở rộng, phát triển, nở, giãn ra
expect v.   AAA/ik'spekt /   BBB chờ đợi, mong ngóng; liệu trước
expected adj.   AAA/iks´pektid /   BBB được chờ đợi, được hy vọng
unexpected adj.   AAA/¸ʌniks´pektid /   BBB bất ngờ, gây ngạc nhiên
unexpectedly adv.   AAA/'Δniks'pektid /   BBB bất ngờ, gây ngạc nhiên
expectation n.   AAA/,ekspek'tei∫n /   BBB sự mong chờ, sự chờ đợi
expense n.   AAA/ɪkˈspɛns /   BBB chi phí
expensive adj.   AAA/iks'pensiv /   BBB đắt
experience n., v.   AAA/iks'piəriəns /   BBB kinh nghiệm; trải qua, nếm mùi
experienced adj.   AAA/eks´piəriənst /   BBB có kinh nghiệm, từng trải, giàu kinh nghiệm
experiment n., v.   AAA/n. ɪkˈspɛrəmənt ; v. ɛkˈspɛrəˌmɛnt /   BBB cuộc thí nghiệm; thí nghiệm
expert n., adj.   AAA/,ekspз'ti:z /   BBB chuyên gia; chuyên môn, thành thạo
explain v.   AAA/iks'plein /   BBB giải nghĩa, giải thích
explanation n.   AAA/,eksplə'neiʃn /   BBB sự giải nghĩa, giải thích
explode v.   AAA/iks'ploud /   BBB đập tan , làm nổ, nổ
explore v.   AAA/iks´plɔ: /   BBB thăm dò, thám hiểm
explosion n.   AAA/iks'plouʤn /   BBB sự nổ, sự phát triển ồ ạt
export v., n.   AAA/iks´pɔ:t /   BBB xuất khẩu; hàng xuất khẩu, sự xuất khẩu
expose v.   AAA/ɪkˈspoʊz /   BBB trưng bày, phơi bày
express v., adj.   AAA/iks'pres /   BBB diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
expression n.   AAA/iks'preʃn /   BBB sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extend v.   AAA/iks'tend /   BBB giơ, duỗi ra ; kéo dài , dành cho, gửi lời
extension n.   AAA/ɪkstent ʃən /   BBB sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
extensive adj.   AAA/iks´tensiv /   BBB rộng rãi, bao quát
extent n. v   AAA/ɪkˈstɛnt /   BBB quy mô, phạm vi
extra adj., n., adv.   AAA/'ekstrə /   BBB thêm, phụ, ngoại; thứ thêm, phụ
extraordinary adj.   AAA/iks'trɔ:dnri /   BBB đặc biệt, lạ thường, khác thường
extreme adj., n.   AAA/iks'tri:m /   BBB vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
extremely adv.   AAA/iks´tri:mli /   BBB vô cùng, cực độ
eye n.   AAA/ai /   BBB mắt
face n., v.   AAA/feis /   BBB mặt, thể diện; đương đầu, đối phó, đối mặt
facility n.   AAA/fəˈsɪlɪti /   BBB điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact n.   AAA/fækt /   BBB việc, sự việc, sự kiện
factor n.   AAA/'fæktə  /   BBB nhân tố
factory n.   AAA/'fæktəri /   BBB nhà máy, xí nghiệp, xưởng
fail v.   AAA/feil /   BBB sai, thất bại
failure n.   AAA/ˈfeɪlyər /   BBB sự thất bại, người thất bại
faint adj.   AAA/feɪnt /   BBB nhút nhát, yếu ớt
faintly adv.   AAA/'feintli /   BBB nhút nhát, yếu ớt
fair adj.   AAA/feə /   BBB hợp lý, công bằng; thuận lợi
fairly adv.   AAA/'feəli /   BBB hợp lý, công bằng
unfair adj.   AAA/ʌn´fɛə /   BBB gian lận, không công bằng; bất lợi
unfairly adv.   AAA/ʌn´fɛəli /   BBB gian lận, không công bằng; bất lợi
faith n.   AAA/feiθ /   BBB sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
faithful adj.   AAA/'feiθful /   BBB trung thành, chung thủy, trung thực
faithfully adv.   AAA/'feiθfuli /   BBB trung thành, chung thủy, trung thực
fall v., n.   AAA/fɔl /   BBB rơi, ngã, sự rơi, ngã
false adj.   AAA/fo:ls /   BBB sai, nhầm, giả dối
fame n.   AAA/feim /   BBB tên tuổi, danh tiếng
familiar adj.   AAA/fəˈmiliər /   BBB thân thiết, quen thộc
family n., adj.   AAA/ˈfæmili /   BBB gia đình, thuộc gia đình
famous adj.   AAA/'feiməs /   BBB nổi tiếng
fan n.   AAA/fæn /   BBB người hâm mộ
fancy v., adj.   AAA/ˈfænsi /   BBB tưởng tượng, cho, nghĩ rằng; tưởng tượng
far adv., adj.   AAA/fɑ: /   BBB xa
further adj.   AAA/'fə:ðə /   BBB xa hơn nữa; thêm nữa
farm n.   AAA/fa:m /   BBB trang trại
farming n.   AAA/'fɑ:miɳ /   BBB công việc trồng trọt, đồng áng
farmer n.   AAA/'fɑ:mə  /   BBB nông dân, người chủ trại
fashion n.   AAA/'fæ∫ən /   BBB mốt, thời trang
fashionable adj.   AAA/'fæʃnəbl /   BBB đúng mốt, hợp thời trang
fast adj., adv.   AAA/fa:st /   BBB nhanh
fasten v.   AAA/'fɑ:sn /   BBB buộc, trói 
fat adj., n.   AAA/fæt /   BBB béo, béo bở; mỡ, chất béo
father n.   AAA/'fɑ:ðə /   BBB cha 
faucet n.   AAA/ˈfɔsɪt /   BBB vòi 
fault n.   AAA/fɔ:lt /   BBB sự thiết sót, sai sót
favour  n.   AAA/'feivз /   BBB thiện ý, sự quý mến; sự đồng ý; sự chiếu cố
favourite adj., n.   AAA/'feivзrit /   BBB được ưa thích; người  được ưa thích
fear n., v.   AAA/fɪər /   BBB sự sợ hãi, e sợ; sợ, lo ngại
feather n.   AAA/'feðə /   BBB lông chim
feature n., v.   AAA/'fi:tʃə /   BBB nét đặt biệt, điểm đặc trưng; mô tả nét đặc biệt, đặc trưng của...
february n.   AAA/´februəri /   BBB tháng 2
federal adj.   AAA/'fedərəl /   BBB liên bang
fee n.   AAA/fi: /   BBB tiền thù lao, học phí
feed v.   AAA/fid /   BBB cho ăn, nuôi
feel v.   AAA/fi:l /   BBB cảm thấy
feeling n.   AAA/'fi:liɳ /   BBB sự cảm thấy, cảm giác
fellow n.   AAA/'felou /   BBB anh chàng , đồng chí
female adj., n.   AAA/´fi:meil /   BBB thuộc giống cái; giống cái
fence n.   AAA/fens /   BBB hàng rào
festival n.   AAA/'festivəl /   BBB lễ hội, đại hội liên hoan
fetch v.   AAA/fetʃ /   BBB tìm về, đem về; làm bực mình; làm say mê, quyến rũ
fever n.   AAA/'fi:və /   BBB cơn sốt, bệnh sốt
few det., adj., pron.   AAA/fju: /   BBB ít,vài; một ít, một vài
field n.   AAA/fi:ld /   BBB cánh đồng, bãi chiến trường
fight v., n.   AAA/fait /   BBB đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu
fighting n.   AAA/´faitiη /   BBB sự chiến đấu, sự đấu tranh
figure n., v.   AAA/figә  /   BBB hình dáng, nhân vật; hình dung, miêu tả
file n.   AAA/fail /   BBB hồ sơ, tài liệu
fill v.   AAA/fil /   BBB làm đấy, lấp kín
film n., v.   AAA/film /   BBB phim, được dựng thành phim
final adj., n.   AAA/'fainl /   BBB cuối cùng, cuộc đấu chung kết
finally adv.   AAA/´fainəli /   BBB cuối cùng, sau cùng
finance n., v.   AAA/fɪˈnæns , ˈfaɪnæns /   BBB tài chính; tài trợ, cấp vốn
financial adj.   AAA/fai'næn∫l /   BBB thuộc 
find v.   AAA/faind /   BBB tìm, tìm thấy
fine adj.   AAA/fain /   BBB tốt, giỏi
finely adv.   AAA/´fainli /   BBB đẹp đẽ, tế nhị, cao thượng
finger n.   AAA/'fiɳgə /   BBB ngón tay
finished adj.   AAA/ˈfɪnɪʃt /   BBB hoàn tất, hoàn thành
fire n., v.   AAA/'faiə /   BBB lửa; đốt cháy
firm n., adj., adv.   AAA/'fə:m /   BBB hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ
firmly adv.   AAA/´fə:mli /   BBB vững chắc, kiên quyết
first det., ordinal number, adv., n.   AAA/fə:st /   BBB thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
fish n., v.   AAA/fɪʃ /   BBB cá, món cá; câu cá, bắt cá
fishing n.   AAA/´fiʃiη /   BBB sự câu cá, sự đánh cá
fit v., adj.   AAA/fit /   BBB hợp, vừa; thích hợp, xứng đáng
fix v.   AAA/fiks /   BBB đóng, gắn, lắp; sửa chữa, sửa sang
flag n.   AAA/'flæg /   BBB quốc kỳ
flame n.   AAA/fleim /   BBB ngọn lửa
flash v., n.   AAA/flæ∫ /   BBB loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
flat adj., n.   AAA/flæt /   BBB bằng phẳng, bẹt, nhẵn; dãy phòng, căn phòng, mặt phẳng
flavour  n., v.   AAA/'fleivə /   BBB vị, mùi; cho gia vị, làm tăng thêm mùi vị
flesh n.   AAA/fle∫ /   BBB thịt
flight n.   AAA/flait /   BBB sự bỏ chạy, rút chạy; sự bay, chuyến bay
float v.   AAA/floʊt /   BBB nổi, trôi, lơ lửng
flood n., v.   AAA/flʌd /   BBB lụt, lũ lụtl; tràn đầy, tràn ngập
floor n.   AAA/flɔ: /   BBB sàn, tầng 
flour n.   AAA/´flauə /   BBB bột, bột mỳ
flow n., v.   AAA/flow /   BBB sự chảy; chảy
flower n.   AAA/'flauə /   BBB hoa, bông, đóa, cây hoa
flu n.   AAA/flu: /   BBB bệnh cúm
fly v., n.   AAA/flaɪ /   BBB bay; sự bay, quãng đường bay
flying adj., n.   AAA/´flaiiη /   BBB biết bay; sự bay, chuyến bay
focus v., n.   AAA/'foukəs /   BBB tập trung; trung tâm, trọng tâm 
fold v., n.   AAA/foʊld /   BBB gấp, vén, xắn; nếp gấp
folding adj.   AAA/´fouldiη /   BBB gấp lại được
follow v.   AAA/'fɔlou /   BBB đi theo sau, theo, tiếp theo
following adj., n., prep.   AAA/´fɔlouiη /   BBB tiếp theo, theo sau, sau đây; sau, tiếp theo
food n.   AAA/fu:d /   BBB đồ ăn, thức, món ăn
foot n.   AAA/fut /   BBB chân, bàn chân
football n.   AAA/ˈfʊtˌbɔl /   BBB bóng đá
for prep.   AAA/fɔ:,fə /   BBB cho, dành cho...
force n., v.   AAA/fɔ:s /   BBB sức mạnh; ép buộc, cưỡng ép
forecast n., v.   AAA/fɔ:'kɑ:st /   BBB sự dự đoán, dự báo; dự đoán, dự báo
foreign adj.   AAA/'fɔrin /   BBB nước ngoài, từ nước ngoài, ở nước ngoài
forest n.   AAA/'forist /   BBB rừng
forever adv.   AAA/fə'revə /   BBB mãi mãi
forget v.   AAA/fə'get /   BBB quên
forgive v.   AAA/fərˈgɪv /   BBB tha, tha thứ
fork n.   AAA/fɔrk /   BBB cái nĩa
form n., v.   AAA/fɔ:m /   BBB hình thể, hình dạng, hình thức; làm thành, được tạo thành
formal adj.   AAA/fɔ:ml /   BBB hình thức
formally adv.   AAA/'fo:mзlaiz /   BBB chính thức
former adj.   AAA/´fɔ:mə /   BBB trước, cũ, xưa, nguyên
formerly adv.   AAA/´fɔ:məli /   BBB trước đây, thuở xưa
formula n.   AAA/'fɔ:mjulə /   BBB công thức, thể thức, cách thức
fortune n.   AAA/ˈfɔrtʃən /   BBB sự giàu có, sự thịnh vượng
forward adv.   AAA/ˈfɔrwərd /   BBB về tương lai, sau này ở phía trước, tiến về phía trước
forward adj.   AAA/ˈfɔrwərd /   BBB ở phía trước, tiến về phía trước
found v.   AAA/faund /   BBB tìm, tìm thấy
foundation n.   AAA/faun'dei∫n /   BBB sự thành lập, sự sáng lập; tổ chức
frame n., v.   AAA/freim /   BBB cấu trúc, hệ thống; dàn xếp, bố trí
free adj., v., adv.   AAA/fri: /   BBB miễn phí, tự do, giải phóng, trả tự do
freely adv.   AAA/´fri:li /   BBB tự do, thoải mái
freedom n.   AAA/'fri:dəm /   BBB sự tự do; nền tự do
freeze v.   AAA/fri:z /   BBB đóng băng, đông lạnh
frozen adj.   AAA/frouzn /   BBB lạnh giá
frequent adj.   AAA/ˈfrikwənt /   BBB thường xuyên
frequently adv.   AAA/´fri:kwəntli /   BBB thường xuyên
fresh adj.   AAA/freʃ /   BBB tươi, tươi tắn
freshly adv.   AAA/´freʃli /   BBB tươi mát, khỏe khoắn
friday n.   AAA/´fraidi /   BBB thứ sáu
fridge n.   AAA/fridЗ /   BBB tủ lạnh
friend n.   AAA/frend /   BBB người bạn
friendly adj.   AAA/´frendli /   BBB thân thiện, thân mật
unfriendly adj.   AAA/ʌn´frendli /   BBB không thân thiện, không có thiện cảm
friendship n.   AAA/'frendʃipn /   BBB tình bạn, tình hữu nghị
frighten v.   AAA/ˈfraɪtn /   BBB làm sợ, làm hoảng sợ
frightening adj.   AAA/´fraiəniη /   BBB kinh khủng, khủng khiếp
frightened adj.   AAA/'fraitnd /   BBB hoảng sợ, khiếp sợ
from prep.   AAA/frɔm /   BBB frəm / BBB từ
front n., adj.   AAA/frʌnt /   BBB mặt; đằng trước, về phía trước
freeze n., v.   AAA/fri:z /   BBB sự đông lạnh, sự giá lạnh; làm đông, làm đóng băng
fruit n.   AAA/fru:t /   BBB quả, trái cây
fry v., n.   AAA/frai /   BBB rán, chiên; thịt rán
fuel n.   AAA/ˈfyuəl /   BBB chất đốt, nhiên liệu
full adj.   AAA/ful /   BBB đầy, đầy đủ
fully adv.   AAA/´fuli /   BBB đầy đủ, hoàn toàn
fun n., adj.   AAA/fʌn /   BBB sự vui đùa, sự vui thích; hài hước
function n., v.   AAA/ˈfʌŋkʃən /   BBB chức năng; họat động, chạy 
fund n., v.   AAA/fʌnd /   BBB kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
fundamental adj.   AAA/,fʌndə'mentl /   BBB cơ bản, cơ sở, chủ yếu
funeral n.   AAA/ˈfju:nərəl /   BBB lễ tang, đám tang
funny adj.   AAA/´fʌni /   BBB buồn cười, khôi hài
